# STAGERZ Phase 21.9 -- S-4 custom SQLSTATE inventory. DESCRIPTIVE SNAPSHOT, NOT A MIGRATION.
# Source: read-only catalog extraction (pg_get_functiondef) of project kbnmkyvbwkuvcklywdhk on 2026-09-14.
# 121 RAISE sites, every one of the form RAISE EXCEPTION '<token>' USING ERRCODE = '<code>'; 58 distinct codes.
# client_facing=no marks codes raised only by service-role admin functions the browser cannot call.
# classification: specific | grouped | defensive | admin. expected_category is the translator category (none for admin).
code	token	client_facing	classification	expected_category	raised_by
P0001	no_active_stagerz_identity	yes	specific	AUTH_REQUIRED	all 20 authenticated RPCs
P0003	cannot_remove_last_credential	no	admin	none	admin_unmap_and_orphan_check
P0004	already_mapped	no	admin	none	admin_link_recovered_account
P0005	target_not_found_or_anonymized	no	admin	none	admin_link_recovered_account
P0006	mapping_not_found	no	admin	none	admin_unmap_and_orphan_check
P0007	target_not_found	no	admin	none	admin_anonymize_account
P0008	post_not_found_or_not_open_or_not_owned	yes	grouped	NOT_FOUND_OR_CHANGED	close_own_wanted_post
P0009	invalid_target_status	yes	defensive	INTERNAL_ERROR	respond_to_wanted_application
P0010	application_not_found_or_not_pending_or_not_owned	yes	grouped	NOT_FOUND_OR_CHANGED	respond_to_wanted_application
P0011	wanted_post_not_found	yes	grouped	NOT_FOUND_OR_CHANGED	create_wanted_application
P0012	wanted_post_not_open	yes	specific	NOT_FOUND_OR_CHANGED	create_wanted_application
P0013	cannot_apply_to_own_wanted	yes	specific	FORBIDDEN	create_wanted_application
P0014	collaboration_not_active	yes	specific	READ_ONLY	16 collaboration RPCs
P0015	not_a_participant	yes	grouped	FORBIDDEN	8 collaboration RPCs
P0016	collaboration_not_found	yes	grouped	NOT_FOUND_OR_CHANGED	10 collaboration RPCs
P0017	title_empty	yes	defensive	INTERNAL_ERROR	create_collaboration_task, edit_collaboration_task
P0018	title_too_long	yes	specific	VALIDATION_FAILED	create_collaboration_task, edit_collaboration_task
P0019	assignee_not_a_participant	yes	grouped	NOT_FOUND_OR_CHANGED	create_collaboration_task
P0020	task_not_found	yes	grouped	NOT_FOUND_OR_CHANGED	complete_collaboration_task, delete_collaboration_task, edit_collaboration_task
P0021	task_not_found_or_not_todo	yes	grouped	NOT_FOUND_OR_CHANGED	complete_collaboration_task
P0022	only_owner_may_change_status	yes	grouped	FORBIDDEN	change_collaboration_status
P0023	invalid_status_transition	yes	grouped	NOT_FOUND_OR_CHANGED	change_collaboration_status
P0024	only_owner_may_transfer	yes	grouped	FORBIDDEN	transfer_collaboration_ownership
P0025	cannot_transfer_to_self	yes	defensive	INTERNAL_ERROR	transfer_collaboration_ownership
P0026	new_owner_not_a_current_member	yes	grouped	NOT_FOUND_OR_CHANGED	transfer_collaboration_ownership
P0027	owner_demotion_failed	yes	defensive	INTERNAL_ERROR	transfer_collaboration_ownership
P0028	owner_promotion_failed	yes	defensive	INTERNAL_ERROR	transfer_collaboration_ownership
P0029	owner_count_invariant_violated	yes	defensive	INTERNAL_ERROR	transfer_collaboration_ownership
P0030	only_owner_may_invite	yes	grouped	FORBIDDEN	invite_collaboration_participant
P0031	cannot_invite_self	yes	defensive	INTERNAL_ERROR	invite_collaboration_participant
P0032	target_user_not_found	yes	specific	TARGET_UNAVAILABLE	invite_collaboration_participant
P0033	target_user_not_eligible	yes	specific	TARGET_UNAVAILABLE	invite_collaboration_participant
P0034	already_a_participant	yes	specific	ALREADY_EXISTS	invite_collaboration_participant
P0035	only_owner_may_remove	yes	grouped	FORBIDDEN	remove_collaboration_participant
P0036	target_not_a_participant	yes	grouped	NOT_FOUND_OR_CHANGED	remove_collaboration_participant
P0037	cannot_remove_owner	yes	defensive	INTERNAL_ERROR	remove_collaboration_participant
P0038	removal_failed	yes	defensive	INTERNAL_ERROR	remove_collaboration_participant
P0039	cannot_leave_zero_participants	yes	defensive	INTERNAL_ERROR	remove_collaboration_participant
P0040	owner_must_transfer_before_leaving	yes	specific	TRANSFER_REQUIRED	leave_collaboration
P0041	leave_failed	yes	defensive	INTERNAL_ERROR	leave_collaboration
P0042	only_creator_or_owner_may_delete	yes	grouped	FORBIDDEN	delete_collaboration_task
P0043	delete_failed	yes	defensive	INTERNAL_ERROR	delete_collaboration_asset, delete_collaboration_task
P0044	asset_not_found	yes	grouped	NOT_FOUND_OR_CHANGED	delete_collaboration_asset, edit_collaboration_asset
P0045	asset_pending_deletion	yes	grouped	NOT_FOUND_OR_CHANGED	delete_collaboration_asset, edit_collaboration_asset
P0046	only_uploader_or_owner_may_delete	yes	grouped	FORBIDDEN	delete_collaboration_asset
P0047	credit_not_found	yes	grouped	NOT_FOUND_OR_CHANGED	delete_collaboration_credit, edit_collaboration_credit
P0048	only_owner_may_edit_credit	yes	grouped	FORBIDDEN	edit_collaboration_credit
P0049	role_empty	yes	defensive	INTERNAL_ERROR	create_collaboration_credit, edit_collaboration_credit
P0050	only_owner_may_delete_credit	yes	grouped	FORBIDDEN	delete_collaboration_credit
P0051	delete_failed	yes	defensive	INTERNAL_ERROR	delete_collaboration_credit
P0052	credited_user_not_a_participant	yes	grouped	NOT_FOUND_OR_CHANGED	create_collaboration_credit
P0053	duplicate_credit	yes	specific	ALREADY_EXISTS	create_collaboration_credit
P0054	message_not_found	yes	grouped	NOT_FOUND_OR_CHANGED	delete_collaboration_message, edit_collaboration_message
P0055	only_author_may_edit_message	yes	grouped	FORBIDDEN	edit_collaboration_message
P0056	body_empty	yes	defensive	INTERNAL_ERROR	create_collaboration_message, edit_collaboration_message
P0057	body_too_long	yes	specific	VALIDATION_FAILED	create_collaboration_message, edit_collaboration_message
P0058	only_author_or_owner_may_delete_message	yes	grouped	FORBIDDEN	delete_collaboration_message
P0059	delete_failed	yes	defensive	INTERNAL_ERROR	delete_collaboration_message
